"","cost","gamma","Accuracy","AUC","Sensitivity","Specificity"
"1",0.1,0.0294117647058824,0.937438905180841,0.253013368397984,0.942800788954635,0.333333333333333
"2",0.1,0.0147058823529412,0.902248289345064,0.235042735042735,0.906311637080868,0.444444444444444
"3",0.1,0.1,0.975562072336266,0.149463072539996,0.98422090729783,0
"4",0.1,0.01,0.895405669599218,0.212579443348674,0.897435897435897,0.666666666666667
"5",1,0.0294117647058824,0.975562072336266,0.293228139381986,0.98422090729783,0
"6",1,0.0147058823529412,0.95405669599218,0.339579224194609,0.960552268244576,0.222222222222222
"7",1,0.1,0.988269794721408,0.415242165242165,0.997041420118343,0
"8",1,0.01,0.941348973607038,0.321718167872014,0.945759368836292,0.444444444444444
"9",10,0.0294117647058824,0.988269794721408,0.363686171378479,0.997041420118343,0
"10",10,0.0147058823529412,0.979472140762463,0.324238439623055,0.988165680473373,0
"11",10,0.1,0.991202346041056,0.454744685513916,1,0
"12",10,0.01,0.971652003910068,0.368288406749945,0.980276134122288,0
"13",100,0.0294117647058824,0.991202346041056,0.355139162831471,1,0
"14",100,0.0147058823529412,0.987292277614858,0.374753451676529,0.996055226824458,0
"15",100,0.1,0.991202346041056,0.453101030024107,1,0
"16",100,0.01,0.98533724340176,0.38088976550515,0.994082840236686,0
