"","cost","gamma","Accuracy","AUC","Sensitivity","Specificity"
"1",0.1,0.0588235294117647,0.929618768328446,0.270216962524655,0.932938856015779,0.555555555555556
"2",0.1,0.0294117647058824,0.903225806451613,0.258492220030682,0.905325443786982,0.666666666666667
"3",0.1,0.1,0.945259042033236,0.239644970414201,0.951676528599605,0.222222222222222
"4",0.1,0.01,0.864125122189638,0.195923734385273,0.864891518737673,0.777777777777778
"5",1,0.0588235294117647,0.967741935483871,0.320841551610782,0.974358974358974,0.222222222222222
"6",1,0.0294117647058824,0.945259042033236,0.337278106508876,0.95069033530572,0.333333333333333
"7",1,0.1,0.975562072336266,0.260355029585799,0.98422090729783,0
"8",1,0.01,0.896383186705767,0.275914968222661,0.898422090729783,0.666666666666667
"9",10,0.0588235294117647,0.98435972629521,0.324621959237344,0.993096646942801,0
"10",10,0.0294117647058824,0.96871945259042,0.293940390094236,0.97534516765286,0.222222222222222
"11",10,0.1,0.988269794721408,0.405708963401271,0.997041420118343,0
"12",10,0.01,0.934506353861193,0.353824238439623,0.939842209072978,0.333333333333333
"13",100,0.0588235294117647,0.986314760508309,0.311746657900504,0.995069033530572,0
"14",100,0.0294117647058824,0.98435972629521,0.344400613631383,0.992110453648915,0.111111111111111
"15",100,0.1,0.988269794721408,0.458360727591497,0.997041420118343,0
"16",100,0.01,0.962854349951124,0.323854920008766,0.970414201183432,0.111111111111111
