"","cost","gamma","Accuracy","AUC","Sensitivity","Specificity"
"1",0.1,0.117647058823529,0.90713587487781,0.145079991233837,0.909270216962525,0.666666666666667
"2",0.1,0.0588235294117647,0.886608015640274,0.146942800788955,0.887573964497041,0.777777777777778
"3",0.1,0.1,0.898338220918866,0.146833223756301,0.900394477317554,0.666666666666667
"4",0.1,0.01,0.852394916911046,0.098948060486522,0.853057199211045,0.777777777777778
"5",1,0.117647058823529,0.949169110459433,0.172693403462634,0.951676528599605,0.666666666666667
"6",1,0.0588235294117647,0.911045943304008,0.154722770107385,0.913214990138067,0.666666666666667
"7",1,0.1,0.941348973607038,0.168748630287092,0.943786982248521,0.666666666666667
"8",1,0.01,0.869012707722385,0.128314705237782,0.869822485207101,0.777777777777778
"9",10,0.117647058823529,0.96969696969697,0.18836291913215,0.977317554240631,0.111111111111111
"10",10,0.0588235294117647,0.950146627565982,0.201073854920009,0.953648915187377,0.555555555555556
"11",10,0.1,0.962854349951124,0.19833442910366,0.968441814595661,0.333333333333333
"12",10,0.01,0.885630498533724,0.139381985535832,0.886587771203156,0.777777777777778
"13",100,0.117647058823529,0.98533724340176,0.258601797063336,0.994082840236686,0
"14",100,0.0588235294117647,0.971652003910068,0.176857330703485,0.977317554240631,0.333333333333333
"15",100,0.1,0.98435972629521,0.15735261889108,0.992110453648915,0.111111111111111
"16",100,0.01,0.906158357771261,0.13324567170721,0.909270216962525,0.555555555555556
