"","cost","gamma","Accuracy","AUC","Sensitivity","Specificity"
"1",0.1,0.0294117647058824,0.93841642228739,0.749068595222441,0.333333333333333,0.943786982248521
"2",0.1,0.0147058823529412,0.901270772238514,0.767258382642998,0.444444444444444,0.905325443786982
"3",0.1,0.1,0.975562072336266,0.853385930309007,0,0.98422090729783
"4",0.1,0.01,0.895405669599218,0.788406749945211,0.666666666666667,0.897435897435897
"5",1,0.0294117647058824,0.975562072336266,0.706552706552707,0,0.98422090729783
"6",1,0.0147058823529412,0.95405669599218,0.659434582511506,0.111111111111111,0.961538461538462
"7",1,0.1,0.988269794721408,0.412886259040105,0,0.997041420118343
"8",1,0.01,0.940371456500489,0.680692526846373,0.444444444444444,0.944773175542406
"9",10,0.0294117647058824,0.989247311827957,0.413653298268683,0,0.998027613412229
"10",10,0.0147058823529412,0.979472140762463,0.677953101030024,0,0.988165680473373
"11",10,0.1,0.991202346041056,0.455182993644532,0,1
"12",10,0.01,0.972629521016618,0.631273285119439,0,0.981262327416174
"13",100,0.0294117647058824,0.991202346041056,0.355906202060048,0,1
"14",100,0.0147058823529412,0.987292277614858,0.370260793337716,0,0.996055226824458
"15",100,0.1,0.991202346041056,0.455292570677186,0,1
"16",100,0.01,0.98533724340176,0.380561034407188,0,0.994082840236686
