"","cost","gamma","Accuracy","AUC","Sensitivity","Specificity"
"1",0.1,0.117647058823529,0.90713587487781,0.854920008766163,0.666666666666667,0.909270216962525
"2",0.1,0.0588235294117647,0.886608015640274,0.853057199211045,0.777777777777778,0.887573964497041
"3",0.1,0.1,0.898338220918866,0.853166776243699,0.666666666666667,0.900394477317554
"4",0.1,0.01,0.852394916911046,0.901051939513478,0.777777777777778,0.853057199211045
"5",1,0.117647058823529,0.949169110459433,0.827306596537366,0.666666666666667,0.951676528599605
"6",1,0.0588235294117647,0.911045943304008,0.845277229892614,0.666666666666667,0.913214990138067
"7",1,0.1,0.941348973607038,0.831251369712908,0.666666666666667,0.943786982248521
"8",1,0.01,0.869012707722385,0.871685294762218,0.777777777777778,0.869822485207101
"9",10,0.117647058823529,0.96969696969697,0.81163708086785,0.111111111111111,0.977317554240631
"10",10,0.0588235294117647,0.950146627565982,0.798926145079991,0.555555555555556,0.953648915187377
"11",10,0.1,0.962854349951124,0.80166557089634,0.333333333333333,0.968441814595661
"12",10,0.01,0.885630498533724,0.860618014464168,0.777777777777778,0.886587771203156
"13",100,0.117647058823529,0.98533724340176,0.741398202936664,0,0.994082840236686
"14",100,0.0588235294117647,0.971652003910068,0.823142669296515,0.333333333333333,0.977317554240631
"15",100,0.1,0.98435972629521,0.842647381108919,0.111111111111111,0.992110453648915
"16",100,0.01,0.906158357771261,0.86675432829279,0.555555555555556,0.909270216962525
